date,risk free rate,risk free multiplier
2016-01-04,0.17,1.000436217
2016-01-05,0.20,1.000506577
2016-01-06,0.21,1.000529641
2016-01-07,0.20,1.000506577
2016-01-08,0.20,1.000506577
2016-01-11,0.19,1.00048332
2016-01-12,0.22,1.000552516
2016-01-13,0.22,1.000552516
2016-01-14,0.22,1.000552516
2016-01-15,0.19,1.00048332
2016-01-19,0.21,1.000529641
2016-01-20,0.26,1.000642183
2016-01-21,0.27,1.000664156
2016-01-22,0.26,1.000642183
2016-01-25,0.25,1.000620035
2016-01-26,0.29,1.00070759
2016-01-27,0.28,1.000685958
2016-01-28,0.26,1.000642183
2016-01-29,0.22,1.000552516
2016-02-01,0.19,1.00048332
2016-02-02,0.26,1.000642183
2016-02-03,0.27,1.000664156
2016-02-04,0.24,1.00059771
2016-02-05,0.23,1.000575205
2016-02-08,0.21,1.000529641
2016-02-09,0.27,1.000664156
2016-02-10,0.27,1.000664156
2016-02-11,0.27,1.000664156
2016-02-12,0.26,1.000642183
2016-02-16,0.23,1.000575205
2016-02-17,0.28,1.000685958
2016-02-18,0.28,1.000685958
2016-02-19,0.26,1.000642183
2016-02-22,0.28,1.000685958
2016-02-23,0.28,1.000685958
2016-02-24,0.28,1.000685958
2016-02-25,0.27,1.000664156
2016-02-26,0.26,1.000642183
2016-02-29,0.23,1.000575205
2016-03-01,0.29,1.00070759
2016-03-02,0.28,1.000685958
2016-03-03,0.25,1.000620035
2016-03-04,0.25,1.000620035
2016-03-07,0.27,1.000664156
2016-03-08,0.27,1.000664156
2016-03-09,0.27,1.000664156
2016-03-10,0.27,1.000664156
2016-03-11,0.27,1.000664156
2016-03-14,0.28,1.000685958
2016-03-15,0.29,1.00070759
2016-03-16,0.28,1.000685958
2016-03-17,0.29,1.00070759
2016-03-18,0.27,1.000664156
2016-03-21,0.26,1.000642183
2016-03-22,0.28,1.000685958
2016-03-23,0.27,1.000664156
2016-03-24,0.24,1.00059771
2016-03-28,0.19,1.00048332
2016-03-29,0.18,1.000459868
2016-03-30,0.14,1.000364034
2016-03-31,0.18,1.000459868
2016-04-01,0.20,1.000506577
2016-04-04,0.18,1.000459868
2016-04-05,0.19,1.00048332
2016-04-06,0.19,1.00048332
2016-04-07,0.20,1.000506577
2016-04-08,0.20,1.000506577
2016-04-11,0.19,1.00048332
2016-04-12,0.21,1.000529641
2016-04-13,0.21,1.000529641
2016-04-14,0.21,1.000529641
2016-04-15,0.19,1.00048332
2016-04-18,0.16,1.000412363
2016-04-19,0.18,1.000459868
2016-04-20,0.18,1.000459868
2016-04-21,0.19,1.00048332
2016-04-22,0.19,1.00048332
2016-04-25,0.17,1.000436217
2016-04-26,0.19,1.00048332
2016-04-27,0.18,1.000459868
2016-04-28,0.17,1.000436217
2016-04-29,0.16,1.000412363
2016-05-02,0.11,1.000289931
2016-05-03,0.18,1.000459868
2016-05-04,0.18,1.000459868
2016-05-05,0.20,1.000506577
2016-05-06,0.20,1.000506577
2016-05-09,0.21,1.000529641
2016-05-10,0.25,1.000620035
2016-05-11,0.25,1.000620035
2016-05-12,0.25,1.000620035
2016-05-13,0.25,1.000620035
2016-05-16,0.21,1.000529641
2016-05-17,0.25,1.000620035
2016-05-18,0.25,1.000620035
2016-05-19,0.25,1.000620035
2016-05-20,0.26,1.000642183
2016-05-23,0.26,1.000642183
2016-05-24,0.28,1.000685958
2016-05-25,0.24,1.00059771
2016-05-26,0.17,1.000436217
2016-05-27,0.23,1.000575205
2016-05-31,0.27,1.000664156
2016-06-01,0.27,1.000664156
2016-06-02,0.19,1.00048332
2016-06-03,0.19,1.00048332
2016-06-06,0.19,1.00048332
2016-06-07,0.20,1.000506577
2016-06-08,0.20,1.000506577
2016-06-09,0.21,1.000529641
2016-06-10,0.18,1.000459868
2016-06-13,0.23,1.000575205
2016-06-14,0.24,1.00059771
2016-06-15,0.23,1.000575205
2016-06-16,0.23,1.000575205
2016-06-17,0.22,1.000552516
2016-06-20,0.23,1.000575205
2016-06-21,0.25,1.000620035
2016-06-22,0.25,1.000620035
2016-06-23,0.27,1.000664156
2016-06-24,0.24,1.00059771
2016-06-27,0.22,1.000552516
2016-06-28,0.25,1.000620035
2016-06-29,0.18,1.000459868
2016-06-30,0.20,1.000506577
2016-07-01,0.24,1.00059771
2016-07-05,0.27,1.000664156
2016-07-06,0.26,1.000642183
2016-07-07,0.27,1.000664156
2016-07-08,0.26,1.000642183
2016-07-11,0.28,1.000685958
2016-07-12,0.29,1.00070759
2016-07-13,0.29,1.00070759
2016-07-14,0.29,1.00070759
2016-07-15,0.27,1.000664156
2016-07-18,0.26,1.000642183
2016-07-19,0.29,1.00070759
2016-07-20,0.28,1.000685958
2016-07-21,0.28,1.000685958
2016-07-22,0.29,1.00070759
2016-07-25,0.28,1.000685958
2016-07-26,0.24,1.00059771
2016-07-27,0.25,1.000620035
2016-07-28,0.19,1.00048332
2016-07-29,0.19,1.00048332
2016-08-01,0.20,1.000506577
2016-08-02,0.28,1.000685958
2016-08-03,0.26,1.000642183
2016-08-04,0.24,1.00059771
2016-08-05,0.23,1.000575205
2016-08-08,0.27,1.000664156
2016-08-09,0.27,1.000664156
2016-08-10,0.27,1.000664156
2016-08-11,0.27,1.000664156
2016-08-12,0.27,1.000664156
2016-08-15,0.26,1.000642183
2016-08-16,0.27,1.000664156
2016-08-17,0.27,1.000664156
2016-08-18,0.27,1.000664156
2016-08-19,0.27,1.000664156
2016-08-22,0.24,1.00059771
2016-08-23,0.28,1.000685958
2016-08-24,0.28,1.000685958
2016-08-25,0.28,1.000685958
2016-08-26,0.28,1.000685958
2016-08-29,0.25,1.000620035
2016-08-30,0.23,1.000575205
2016-08-31,0.26,1.000642183
2016-09-01,0.27,1.000664156
2016-09-02,0.25,1.000620035
2016-09-06,0.24,1.00059771
2016-09-07,0.25,1.000620035
2016-09-08,0.26,1.000642183
2016-09-09,0.24,1.00059771
2016-09-12,0.24,1.00059771
2016-09-13,0.25,1.000620035
2016-09-14,0.24,1.00059771
2016-09-15,0.20,1.000506577
2016-09-16,0.20,1.000506577
2016-09-19,0.16,1.000412363
2016-09-20,0.17,1.000436217
2016-09-21,0.12,1.000314851
2016-09-22,0.10,1.000264786
2016-09-23,0.09,1.000239411
2016-09-26,0.12,1.000314851
2016-09-27,0.16,1.000412363
2016-09-28,0.14,1.000364034
2016-09-29,0.12,1.000314851
2016-09-30,0.20,1.000506577
2016-10-03,0.25,1.000620035
2016-10-04,0.28,1.000685958
2016-10-05,0.26,1.000642183
2016-10-06,0.26,1.000642183
2016-10-07,0.26,1.000642183
2016-10-11,0.27,1.000664156
2016-10-12,0.26,1.000642183
2016-10-13,0.26,1.000642183
2016-10-14,0.26,1.000642183
2016-10-17,0.24,1.00059771
2016-10-18,0.26,1.000642183
2016-10-19,0.25,1.000620035
2016-10-20,0.25,1.000620035
2016-10-21,0.25,1.000620035
2016-10-24,0.23,1.000575205
2016-10-25,0.22,1.000552516
2016-10-26,0.25,1.000620035
2016-10-27,0.19,1.00048332
2016-10-28,0.18,1.000459868
2016-10-31,0.20,1.000506577
2016-11-01,0.24,1.00059771
2016-11-02,0.24,1.00059771
2016-11-03,0.24,1.00059771
2016-11-04,0.25,1.000620035
2016-11-07,0.28,1.000685958
2016-11-08,0.28,1.000685958
2016-11-09,0.30,1.000729055
2016-11-10,0.30,1.000729055
2016-11-14,0.32,1.000771497
2016-11-15,0.30,1.000729055
2016-11-16,0.32,1.000771497
2016-11-17,0.30,1.000729055
2016-11-18,0.28,1.000685958
2016-11-21,0.28,1.000685958
2016-11-22,0.34,1.000813302
2016-11-23,0.35,1.000833971
2016-11-25,0.34,1.000813302
2016-11-28,0.32,1.000771497
2016-11-29,0.34,1.000813302
2016-11-30,0.38,1.000895077
2016-12-01,0.32,1.000771497
2016-12-02,0.34,1.000813302
2016-12-05,0.34,1.000813302
2016-12-06,0.35,1.000833971
2016-12-07,0.38,1.000895077
2016-12-08,0.39,1.000915151
2016-12-09,0.41,1.000954871
2016-12-12,0.42,1.000974521
2016-12-13,0.47,1.001070746
2016-12-14,0.49,1.001108325
2016-12-15,0.48,1.001089599
2016-12-16,0.46,1.001051765
2016-12-19,0.45,1.001032654
2016-12-20,0.48,1.001089599
2016-12-21,0.46,1.001051765
2016-12-22,0.42,1.000974521
2016-12-23,0.42,1.000974521
2016-12-27,0.50,1.001126926
2016-12-28,0.48,1.001089599
2016-12-29,0.39,1.000915151
2016-12-30,0.44,1.001013411
2017-01-03,0.52,1.001163761
2017-01-04,0.49,1.001108325
2017-01-05,0.51,1.001145405
2017-01-06,0.50,1.001126926
2017-01-09,0.50,1.001126926
2017-01-10,0.51,1.001145405
2017-01-11,0.51,1.001145405
2017-01-12,0.52,1.001163761
2017-01-13,0.52,1.001163761
2017-01-17,0.52,1.001163761
2017-01-18,0.48,1.001089599
2017-01-19,0.47,1.001070746
2017-01-20,0.46,1.001051765
2017-01-23,0.46,1.001051765
2017-01-24,0.50,1.001126926
2017-01-25,0.48,1.001089599
2017-01-26,0.49,1.001108325
2017-01-27,0.49,1.001108325
2017-01-30,0.49,1.001108325
2017-01-31,0.50,1.001126926
2017-02-01,0.50,1.001126926
2017-02-02,0.50,1.001126926
2017-02-03,0.49,1.001108325
2017-02-06,0.48,1.001089599
2017-02-07,0.51,1.001145405
2017-02-08,0.52,1.001163761
2017-02-09,0.51,1.001145405
2017-02-10,0.51,1.001145405
2017-02-13,0.50,1.001126926
2017-02-14,0.51,1.001145405
2017-02-15,0.53,1.001181997
2017-02-16,0.51,1.001145405
2017-02-17,0.50,1.001126926
2017-02-21,0.49,1.001108325
2017-02-22,0.47,1.001070746
2017-02-23,0.39,1.000915151
2017-02-24,0.40,1.000935082
2017-02-27,0.44,1.001013411
2017-02-28,0.40,1.000935082
2017-03-01,0.46,1.001051765
2017-03-02,0.52,1.001163761
2017-03-03,0.56,1.001236002
2017-03-06,0.56,1.001236002
2017-03-07,0.55,1.001218116
2017-03-08,0.54,1.001200115
2017-03-09,0.50,1.001126926
2017-03-10,0.60,1.001306418
2017-03-13,0.69,1.001458642
2017-03-14,0.77,1.001587313
2017-03-15,0.71,1.00149137
2017-03-16,0.68,1.001442133
2017-03-17,0.71,1.00149137
2017-03-20,0.70,1.001475054
2017-03-21,0.76,1.00157155
2017-03-22,0.74,1.001539754
2017-03-23,0.73,1.001523719
2017-03-24,0.73,1.001523719
2017-03-27,0.73,1.001523719
2017-03-28,0.75,1.001555697
2017-03-29,0.76,1.00157155
2017-03-30,0.75,1.001555697
2017-03-31,0.74,1.001539754
2017-04-03,0.73,1.001523719
2017-04-04,0.77,1.001587313
2017-04-05,0.77,1.001587313
2017-04-06,0.78,1.001602987
2017-04-07,0.77,1.001587313
2017-04-10,0.77,1.001587313
2017-04-11,0.74,1.001539754
2017-04-12,0.77,1.001587313
2017-04-13,0.76,1.00157155
2017-04-17,0.76,1.00157155
2017-04-18,0.76,1.00157155
2017-04-19,0.75,1.001555697
2017-04-20,0.73,1.001523719
2017-04-21,0.72,1.001507592
2017-04-24,0.74,1.001539754
2017-04-25,0.73,1.001523719
2017-04-26,0.74,1.001539754
2017-04-27,0.70,1.001475054
2017-04-28,0.68,1.001442133
2017-05-01,0.67,1.001425525
2017-05-02,0.72,1.001507592
2017-05-03,0.73,1.001523719
2017-05-04,0.71,1.00149137
2017-05-05,0.71,1.00149137
2017-05-08,0.73,1.001523719
2017-05-09,0.74,1.001539754
2017-05-10,0.71,1.00149137
2017-05-11,0.68,1.001442133
2017-05-12,0.69,1.001458642
2017-05-15,0.73,1.001523719
2017-05-16,0.72,1.001507592
2017-05-17,0.72,1.001507592
2017-05-18,0.73,1.001523719
2017-05-19,0.71,1.00149137
2017-05-22,0.70,1.001475054
2017-05-23,0.76,1.00157155
2017-05-24,0.76,1.00157155
2017-05-25,0.72,1.001507592
2017-05-26,0.75,1.001555697
2017-05-30,0.77,1.001587313
2017-05-31,0.86,1.00172531
2017-06-01,0.82,1.001664819
2017-06-02,0.82,1.001664819
2017-06-05,0.83,1.001680065
2017-06-06,0.83,1.001680065
2017-06-07,0.84,1.001695229
2017-06-08,0.80,1.001634074
2017-06-09,0.80,1.001634074
2017-06-12,0.82,1.001664819
2017-06-13,0.89,1.001769833
2017-06-14,0.90,1.001784518
2017-06-15,0.86,1.00172531
2017-06-16,0.85,1.00171031
2017-06-19,0.85,1.00171031
2017-06-20,0.88,1.001755071
2017-06-21,0.85,1.00171031
2017-06-22,0.80,1.001634074
2017-06-23,0.76,1.00157155
2017-06-26,0.81,1.001649489
2017-06-27,0.89,1.001769833
2017-06-28,0.89,1.001769833
2017-06-29,0.88,1.001755071
2017-06-30,0.84,1.001695229
2017-07-03,0.96,1.001871038
2017-07-05,0.97,1.001885201
2017-07-06,0.95,1.001856803
2017-07-07,0.94,1.001842495
2017-07-10,0.95,1.001856803
2017-07-11,0.97,1.001885201
2017-07-12,0.94,1.001842495
2017-07-13,0.95,1.001856803
2017-07-14,0.93,1.001828113
2017-07-17,0.95,1.001856803
2017-07-18,0.95,1.001856803
2017-07-19,0.99,1.001913313
2017-07-20,1.00,1.001927264
2017-07-21,1.00,1.001927264
2017-07-24,1.00,1.001927264
2017-07-25,0.96,1.001871038
2017-07-26,1.02,1.001954957
2017-07-27,1.01,1.001941145
2017-07-28,1.00,1.001927264
2017-07-31,1.00,1.001927264
2017-08-01,1.00,1.001927264
2017-08-02,1.02,1.001954957
2017-08-03,1.00,1.001927264
2017-08-04,1.00,1.001927264
2017-08-07,0.99,1.001913313
2017-08-08,1.00,1.001927264
2017-08-09,1.01,1.001941145
2017-08-10,1.02,1.001954957
2017-08-11,0.99,1.001913313
2017-08-14,0.95,1.001856803
2017-08-15,0.97,1.001885201
2017-08-16,0.97,1.001885201
2017-08-17,0.95,1.001856803
2017-08-18,0.97,1.001885201
2017-08-21,0.95,1.001856803
2017-08-22,0.93,1.001828113
2017-08-23,0.98,1.001899293
2017-08-24,0.98,1.001899293
2017-08-25,0.99,1.001913313
2017-08-28,0.99,1.001913313
2017-08-29,0.96,1.001871038
2017-08-30,0.96,1.001871038
2017-08-31,0.95,1.001856803
2017-09-01,0.96,1.001871038
2017-09-05,1.30,1.002316315
2017-09-06,1.04,1.001982378
2017-09-07,0.98,1.001899293
2017-09-08,0.96,1.001871038
2017-09-11,0.97,1.001885201
2017-09-12,0.99,1.001913313
2017-09-13,0.99,1.001913313
2017-09-14,0.99,1.001913313
2017-09-15,0.98,1.001899293
2017-09-18,0.96,1.001871038
2017-09-19,0.97,1.001885201
2017-09-20,0.98,1.001899293
2017-09-21,0.99,1.001913313
2017-09-22,0.97,1.001885201
2017-09-25,0.97,1.001885201
2017-09-26,0.96,1.001871038
2017-09-27,0.99,1.001913313
2017-09-28,0.97,1.001885201
2017-09-29,0.96,1.001871038
2017-10-02,0.95,1.001856803
2017-10-03,1.01,1.001941145
2017-10-04,1.00,1.001927264
2017-10-05,1.02,1.001954957
2017-10-06,1.03,1.001968701
2017-10-10,1.03,1.001968701
2017-10-11,1.04,1.001982378
2017-10-12,0.99,1.001913313
2017-10-13,0.97,1.001885201
